Trait Heritability,Number of Simulated QTL,Group 1,Group 2,n1,n2,Adjusted p-value,Significance
0.8,5,EMMA,fastGWA-lmm-exact-INBRED,50,50,0.9322,ns
0.8,5,EMMA,fastGWA-lmm-exact-LOCO,50,50,0.00826,**
0.8,5,fastGWA-lmm-exact,fastGWA-lmm-exact-INBRED,50,50,0,****
0.8,5,fastGWA-lmm-exact,fastGWA-lmm-exact-LOCO,50,50,0,****
0.8,5,fastGWA-lmm-exact-INBRED,fastGWA-lmm-exact-LOCO,50,50,0.00826,**
0.9,5,EMMA,fastGWA-lmm-exact,50,50,0,****
0.9,5,EMMA,fastGWA-lmm-exact-INBRED,50,50,0.27572,ns
0.9,5,EMMA,fastGWA-lmm-exact-LOCO,50,50,0.00501,**
0.9,5,fastGWA-lmm-exact,fastGWA-lmm-exact-INBRED,50,50,3e-05,****
0.9,5,fastGWA-lmm-exact,fastGWA-lmm-exact-LOCO,50,50,0,****
0.9,5,fastGWA-lmm-exact-INBRED,fastGWA-lmm-exact-LOCO,50,50,0.00012,***
