Population Type,0-2.5,2.5-5,5-7.5,7.5-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
Divergent,0.01 ± 0.02,0.04 ± 0.05,0.08 ± 0.09,0.17 ± 0.15,0.34 ± 0.14,0.61 ± 0.19,0.81 ± 0.15,0.91 ± 0.14,0.96 ± 0.1,0.99 ± 0.04,1 ± 0,1 ± 0
Subsampled,0.01 ± 0.02,0.06 ± 0.05,0.1 ± 0.1,0.18 ± 0.18,0.39 ± 0.12,0.57 ± 0.19,0.67 ± 0.16,0.85 ± 0.17,0.86 ± 0.16,0.94 ± 0.11,1 ± 0.02,1 ± 0
Swept,0 ± 0,0.04 ± 0.05,0.1 ± 0.11,0.24 ± 0.2,0.66 ± 0.13,0.95 ± 0.08,0.99 ± 0.03,1 ± 0,1 ± 0,1 ± 0,1 ± 0,1 ± 0
