"","Strain Set","Simulated Divergence","Simulated Chromosome Region","Group 1","Group 2","n1","n2","Adjusted p-value","Significance"
"1","unswept.chr.sims","Hyperdivergent","Center","I","II",105,100,0.01679,"*"
"2","unswept.chr.sims","Hyperdivergent","Center","II","III",100,230,0.002,"**"
"3","unswept.chr.sims","Hyperdivergent","Center","III","V",230,387,0.0051,"**"
"4","unswept.chr.sims","Hyperdivergent","Center","III","X",230,220,0.00646,"**"
"5","unswept.chr.sims","Hyperdivergent","Tip","IV","X",89,43,0.00446,"**"
"6","unswept.chr.sims","Hyperdivergent","Tip","V","X",156,43,0.00749,"**"
"7","swept.chr.sims","Non-Hyperdivergent","Arm","II","V",488,233,0.04509,"*"
